151, 48
183, 96
227, 136
301, 179
288, 211
277, 294
294, 335
263, 544
270, 569
288, 609
307, 617
296, 633
317, 638
347, 622
348, 612
380, 598
421, 599
463, 615
465, 624
492, 637
514, 633
503, 612
520, 604
536, 577
543, 547
532, 473
579, 476
566, 414
652, 425
622, 323
734, 330
786, 206
539, 246
584, 372
524, 381
538, 446
526, 445
517, 372
514, 331
526, 294
520, 249
514, 202
504, 182
522, 178
618, 156
669, 116
615, 113
547, 122
471, 152
439, 136
390, 132
354, 138
327, 153
292, 114
248, 83
191, 56
157, 47
